Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
100,0,0,0.55,10.91,0.00977548732219813,0.19707569924286786
200,0,0,0.48,10.81,0.020387571536126702,0.7430099726990271
300,0,0,0.56,10.64,0.03230208902405142,1.1675886008657559
400,0,0,0.48,10.84,0.038627147978281526,1.3433895107905345
500,0,0,0.51,10.31,0.03812740671197849,1.3511280000566588
600,0,0,0.48,10.76,0.0370638278084014,1.3122198487105174
700,0,0,0.51,11.18,0.03522289531765762,1.2688919736797633
800,0,0,0.53,11.5,0.03274919953077478,1.2260819974068617
900,0,0,0.51,11.32,0.031619696568313004,1.20166272263848
1000,0,0,0.49,10.99,0.030283367928116315,1.1834327458102818
1100,0,0,0.57,10.94,0.029010043703284864,1.1608847161788236
1200,0,0,0.58,11.05,0.02770510892067219,1.1297906691443818
1300,0,0,0.42,10.87,0.026904554563075878,1.106665260992338
1400,0,0,0.53,10.93,0.02688468376696428,1.0898477395631088
1500,0,0,0.53,10.59,0.026060969659992814,1.0752795974242335
1600,0,0,0.52,11.1,0.02610567371209302,1.0618961788458994
1700,0,0,0.59,10.72,0.025001883791245603,1.040286552342984
1800,0,0,0.53,11.13,0.024646081509637267,1.027588603629041
1900,0,0,0.53,11.47,0.024647082665876088,1.014943688139829
2000,0,0,0.54,11.04,0.024127091599653257,1.0031462778676035
2100,0,0,0.5,11.07,0.023941334991740292,0.9958318189878004
2200,0,0,0.59,10.56,0.023995680319671045,0.9981975081506378
2300,0,0,0.58,11.27,0.023953682313409597,0.9909198092269991
2400,0,0,0.51,11.37,0.023783871934080828,0.9884404957868353
2500,0,0,0.63,10.7,0.0235212096634556,0.9824401403121914
2600,0,0,0.56,10.29,0.023880839266086355,0.9700715231957551
2700,0,0,0.5,10.92,0.023829823508005585,0.9642453120817488
2800,0,0,0.64,11.56,0.023252501253220453,0.9550923997327816
2900,0,0,0.59,10.94,0.02291446190464386,0.9547425034278035
3000,0,0,0.57,11.18,0.022698938623286865,0.9537874854526699
3100,0,0,0.58,10.73,0.02280323220119378,0.9499368135952103
3200,0,0,0.58,10.52,0.022333381941522564,0.9496736227155256
3300,0,0,0.64,10.51,0.022585448812652172,0.9438688831426696
3400,0,0,0.59,10.67,0.022713396784842882,0.94250746308947
