Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
100,0,0,0.6,10.09,0.011009051022893488,0.21080942655521678
200,0,0,0.67,10.76,0.03256816961322495,0.9170455337721839
300,0,0,0.61,10.98,0.06969073861477584,1.7152341693053048
400,0,0,0.53,11.14,0.10893030819261348,2.307784485226909
500,0,0,0.54,10.85,0.12065079021001938,2.479440227559927
600,0,0,0.53,10.69,0.12400760279080648,2.5074311019439124
700,0,0,0.52,11.01,0.12340617686766774,2.4611893058827614
800,0,0,0.66,10.61,0.1133419325433168,2.358561655814946
900,0,0,0.57,10.83,0.10817221661630332,2.296095952399009
1000,0,0,0.54,11.0,0.10808754433281903,2.2708447741391513
1100,0,0,0.56,10.7,0.11108388777376774,2.2813135229069075
1200,0,0,0.64,11.51,0.11353515593569771,2.3007941762140742
1300,0,0,0.62,11.73,0.11316493328400819,2.3202641521848917
1400,0,0,0.59,11.51,0.11530576255087423,2.3349096287585085
1500,0,0,0.63,11.86,0.11675186335450453,2.34993084907249
1600,0,0,0.6,10.99,0.11770128100922408,2.352245421699628
1700,0,0,0.6,10.85,0.1151170118599357,2.3206457844262562
1800,0,0,0.54,11.24,0.11283574521742334,2.3008429754427597
1900,0,0,0.71,12.21,0.11111215059068019,2.284019448450239
2000,0,0,0.51,11.09,0.10856696473519445,2.278168463718765
2100,0,0,0.63,12.13,0.11039453514610276,2.2848902525484247
2200,0,0,0.73,12.04,0.10827295453782887,2.259770271541774
2300,0,0,0.65,11.58,0.10751402733812233,2.266615982726385
2400,0,0,0.64,11.69,0.1097136724047703,2.257699463540362
2500,0,0,0.71,12.02,0.11144053826918135,2.278479614724074
2600,0,0,0.66,12.11,0.11142318456081662,2.279443356555893
2700,0,0,0.7,12.0,0.10946279591858935,2.2629662479988735
2800,0,0,0.67,11.77,0.10696155727951105,2.2446524397678487
2900,0,0,0.67,11.94,0.10624760907468188,2.2407117497740634
3000,0,0,0.69,11.57,0.1062770064085043,2.2427403546511644
3100,0,0,0.73,12.22,0.10690815399227875,2.260894484884085
3200,0.12727272727272726,0.7818181818181819,0.78,13.21,0.10771914064474351,2.2715102013192783
3300,0.11,0.79,0.78,14.05,0.10713680951204547,2.281109105111827
3400,0.12,0.7,0.78,13.21,0.10808158458154846,2.282477239983886
3500,0.09,0.83,0.78,14.14,0.10658086734574698,2.2837907749844772
3600,0.11,0.8,0.78,14.02,0.10438052373559632,2.2863258561487396
3700,0.04,0.92,0.78,14.9,0.10557209804767873,2.312289978779317
3800,0.08,0.9,0.78,13.97,0.1034614578944772,2.3202249035207645
3900,0.04,0.91,0.78,14.62,0.10525386968292555,2.3408549867831945
4000,0.03,0.9,0.78,14.42,0.1060319890281796,2.3623658089252495
4100,0.05,0.93,0.78,14.56,0.10893157958513737,2.3766006074086716
4200,0.03,0.92,0.78,14.7,0.10833855530092736,2.385654053967016
4300,0.03,0.91,0.78,14.23,0.10910680123514716,2.4061328801728767
4400,0.01,0.95,0.78,14.95,0.11005604724920554,2.4292969453379656
4500,0.02,0.95,0.78,15.21,0.1113288366361785,2.458778262765575
4600,0.05,0.93,0.78,15.03,0.11476148057772631,2.4846587353830496
4700,0.0,0.98,0.78,14.72,0.11685754801070031,2.526212280389804
4800,0.04,0.94,0.78,15.52,0.11724582720682188,2.559876220676579
4900,0.11,0.87,0.78,15.56,0.11527283560111784,2.568228376665795
5000,0.02,0.95,0.78,16.55,0.1113157822680577,2.561474953693594
5100,0.01,0.96,0.78,16.58,0.11233329177192573,2.5899659344575987
5200,0.02,0.97,0.78,16.45,0.11334836639683489,2.631474649831282
5300,0.0,0.99,0.78,16.92,0.11536878084382046,2.6843327914421957
5400,0.04,0.94,0.78,16.84,0.11524316267636613,2.7165095074669896
5500,0.01,0.97,0.78,17.12,0.11342803411158173,2.7414209829297334
5600,0.01,0.97,0.78,17.57,0.11472993684116055,2.779963579979212
5700,0.03,0.97,0.78,17.63,0.11505266937969702,2.813457499531798
5800,0.01,0.98,0.78,18.48,0.11495610358729605,2.842514103991557
5900,0.02,0.97,0.78,18.48,0.1134786551388009,2.8905318484086853
